test_season,train_until,n_matches,profit_model,profit_bet365,roi_model,roi_bet365,csv_file,json_file
2007,2006,380,-23.95,-13.19,-0.06302631578947368,-0.03471052631578947,cumprofit_2007.csv,cumprofit_2007.json
2008,2007,380,-7.33,30.05,-0.019289473684210526,0.07907894736842105,cumprofit_2008.csv,cumprofit_2008.json
2009,2008,380,-12.59,16.28,-0.03313157894736842,0.0428421052631579,cumprofit_2009.csv,cumprofit_2009.json
2010,2009,380,13.54,34.36,0.03563157894736842,0.09042105263157894,cumprofit_2010.csv,cumprofit_2010.json
2011,2010,380,15.19,-30.06,0.039973684210526314,-0.07910526315789473,cumprofit_2011.csv,cumprofit_2011.json
2012,2011,380,-42.69,-14.2,-0.11234210526315788,-0.03736842105263158,cumprofit_2012.csv,cumprofit_2012.json
2013,2012,380,1.98,-37.66,0.005210526315789474,-0.09910526315789472,cumprofit_2013.csv,cumprofit_2013.json
2014,2013,380,9.11,-22.84,0.023973684210526314,-0.06010526315789474,cumprofit_2014.csv,cumprofit_2014.json
2015,2014,380,-43.81,-23.78,-0.11528947368421054,-0.06257894736842105,cumprofit_2015.csv,cumprofit_2015.json
2016,2015,380,-13.14,0.22,-0.034578947368421056,0.0005789473684210527,cumprofit_2016.csv,cumprofit_2016.json
2017,2016,380,-16.37,-10.9,-0.04307894736842106,-0.02868421052631579,cumprofit_2017.csv,cumprofit_2017.json
2018,2017,380,-17.58,-48.3,-0.04626315789473684,-0.12710526315789472,cumprofit_2018.csv,cumprofit_2018.json
2019,2018,380,-44.28,-23.29,-0.11652631578947369,-0.061289473684210526,cumprofit_2019.csv,cumprofit_2019.json
2020,2019,380,-3.04,-7.36,-0.008,-0.01936842105263158,cumprofit_2020.csv,cumprofit_2020.json
2021,2020,380,32.42,-17.15,0.08531578947368422,-0.04513157894736842,cumprofit_2021.csv,cumprofit_2021.json
2022,2021,380,-14.7,6.93,-0.038684210526315786,0.018236842105263155,cumprofit_2022.csv,cumprofit_2022.json
2023,2022,380,29.61,8.28,0.07792105263157895,0.021789473684210525,cumprofit_2023.csv,cumprofit_2023.json
2024,2023,380,-2.54,-6.84,-0.00668421052631579,-0.018,cumprofit_2024.csv,cumprofit_2024.json
2025,2024,69,-2.02,-5.92,-0.02927536231884058,-0.08579710144927537,cumprofit_2025.csv,cumprofit_2025.json
